,name_customer,clear_date,document_create_date.1,due_in_date,total_open_amount,baseline_create_date,isOpen,delay
0,WAL-MAR corp,2020-02-11,2020-01-26,2020-02-10,54273.28,2020-01-26,0,1 days
1,BEN E ,2019-08-08,2019-07-22,2019-08-11,79656.6,2019-07-22,0,-3 days
2,MDV/ trust,2019-12-30,2019-09-14,2019-09-29,2253.86,2019-09-14,0,92 days
4,WAL-MAR foundation,2019-11-25,2019-11-13,2019-11-28,33133.29,2019-11-13,0,-3 days
5,THE  corporation,2019-12-04,2019-09-20,2019-10-04,17558.41,2019-09-24,0,61 days
6,WAL-MAR in,2019-11-12,2019-11-01,2019-11-16,7358.49,2019-11-01,0,-4 days
8,WAL-MAR corp,2019-06-18,2019-06-07,2019-06-22,15995.04,2019-06-07,0,-4 days
9,C&S WH systems,2019-03-06,2019-02-20,2019-03-07,28.63,2019-02-20,0,-1 days
11,BROOKS co,2019-01-22,2019-01-02,2019-01-17,103147.37,2019-01-02,0,5 days
12,SYSC corporation,2019-05-06,2019-04-15,2019-04-30,16381.45,2019-04-15,0,6 days
13,GO corporation,2019-11-01,2019-10-17,2019-11-01,19581.57,2019-10-17,0,0 days
16,COST in,2019-11-12,2019-10-25,2019-11-09,5181.51,2019-10-25,0,3 days
17,ALBERT corp,2019-12-17,2019-12-02,2019-12-17,19082.14,2019-12-02,0,0 days
18,WAL-MAR trust,2019-11-26,2019-11-15,2019-11-30,12819.5,2019-11-15,0,-4 days
19,WAL-MAR systems,2020-02-05,2020-01-24,2020-02-08,53349.54,2020-01-24,0,-3 days
20,SYSTEMS systems,2020-02-11,2020-01-11,2020-02-10,5683.5,2020-01-11,0,1 days
21,FAREW us,2019-09-04,2019-08-21,2019-09-05,11845.19,2019-08-21,0,-1 days
23,QUALITY C ,2019-07-30,2019-07-17,2019-08-01,20079.58,2019-07-17,0,-2 days
24,WAL-MAR co,2020-02-04,2020-01-24,2020-02-08,11307.78,2020-01-24,0,-4 days
26,WAL-MAR foundation,2019-01-30,2019-01-14,2019-01-29,36188.11,2019-01-14,0,1 days
28,WAL-MAR foundation,2019-05-09,2019-04-23,2019-05-08,412.09,2019-04-23,0,1 days
29,WAL-M associates,2019-05-06,2019-04-16,2019-04-26,38246.49,2019-04-16,0,10 days
30,ALBER systems,2019-05-03,2019-04-18,2019-05-03,6023.53,2019-04-18,0,0 days
31,GO trust,2019-10-07,2019-09-22,2019-10-07,17307.51,2019-09-22,0,0 days
32,WAL-MAR in,2019-09-23,2019-09-10,2019-09-25,341.14,2019-09-10,0,-2 days
33,BJ'S  systems,2019-07-01,2019-06-15,2019-06-30,365.87,2019-06-15,0,1 days
34,KRAFT  systems,2019-08-30,2019-07-05,2019-08-09,32751.88,2019-07-05,0,21 days
36,US  corp,2019-02-13,2019-01-23,2019-02-12,39221.31,2019-01-23,0,1 days
38,WAL-MAR corp,2019-06-27,2019-06-17,2019-07-02,46961.92,2019-06-17,0,-5 days
39,RESER llc,2019-07-19,2019-06-04,2019-07-19,51641.33,2019-06-04,0,0 days
